region	year	typeGroup	type	value0	value1	value2	value3	value4	value5	value6	value7	value8	value9	value10	value11	value12
3	0	4	15	79	29	674	1	1		14	9	41	17	14																		
3	0	4	16	28	26				11		6	26		7		11																
3	0	4	17	115	105	1		5		2	8	84	2	5	4																	
3	0	4	18	149	134	65	3	37		2	10	117	2	5	29																	
3	0	5	19	374	339	466	7	74		3	9	334	3	9	70																	
3	0	5	20	66	64	17		65				50			50																	
3	0	5	21	21	18			3				24			6																	
3	0	5	22	320	236	19	9	14		2	12	224	1	13	8																	
3	0	6	23	30	20	4599						9																				
3	0	6	24	13	12	9						15																				
3	0	6	25	47	6	9					1	15		2																		
3	0	6	26																													
3	0	6	27	1	1							3																				
3	0	6	28	89	78	1232	2	1			1	76		1	1																	
3	0	6	29	233	169	4182	13	4			2	193		3	4																	
3	0	6	30																													
3	0	6	31	82	56	801	3	4			3	55		2	4																	
4	0	0	0	20	9	25	1	6				9			6																	
4	0	0	1	103	81	181		32		5	32	94	5	28	31																	
4	0	0	2	49	45			28			2	42		2	26																	
4	0	0	3	593	513	1	27	208		7	47	542	7	47	198																	
4	0	1	4	2	1	1140						3																				
4	0	0	5	922	879	23	10	456		12	54	840	14	46	423																	
4	0	2	6	16	15		1	4			1	19		4	4																	
4	0	2	7	23	20			3		1	9	16	1	7	3																	
4	0	2	8																													
4	0	2	9	4	4		1				1	5		1																		
4	0	3	10	3309	933	3126	108	112		87	402	972	103	385	101																	
4	0	3	11	3233	1003	5539	51	123	1	33	332	878	28	268	102	1																
4	0	3	12	138	61	112	3	18		9	9	70	11	10	17																	
4	0	3	13																													
4	0	4	14	59	51	2		30		3	3	77	6	3	39																	
4	0	4	15	78	29	617		2		12	3	35	17	2	3																	
4	0	4	16	18	16			1	1		2	14		2	1	1																
4	0	4	17	54	50			9			6	37		4	6																	
4	0	4	18	241	228	20	2	42		2	39	188	2	31	28																	
4	0	5	19	373	304	713	17	78		3	9	311	3	9	67																	
4	0	5	20	68	67	9	1	70			1	45			45																	
4	0	5	21	4	4							3																				
4	0	5	22	593	494	29	22	20		7	9	458	7	9	16																	
4	0	6	23	29	27	542	2					21																				
4	0	6	24	34	31	33	2				2	48		2																		
4	0	6	25	69	11	4	1				2	5		1																		
4	0	6	26	3	3	173																										
4	0	6	27	1	1																											
4	0	6	28	101	91	598	10	1			3	99		2	1																	
4	0	6	29	179	126	6545	12				2	150		2																		
4	0	6	30																													
4	0	6	31	78	59	11890	6	7			1	57		1	5																	
5	0	0	0	17	13		1	9				14			9																	
5	0	0	1	147	116	300		21		16	54	164	21	56	29																	
5	0	0	2	45	43		1	24			3	45		3	25																	
5	0	0	3	651	556	5	26	181		7	67	601	7	79	170																	
5	0	1	4	2	1	101					1	3		1																		
5	0	0	5	605	566	79	10	196		14	69	573	13	64	194																	
5	0	2	6	26	25		1	12			4	22		2	11																	
5	0	2	7	107	104		1	11		3	54	84	3	42	9																	
5	0	2	8	4	4							3																				
5	0	2	9	1	1							1																				
5	0	3	10	4241	1353	4867	139	124	1	77	532	1301	124	442	98	1																
5	0	3	11	3792	1179	6715	64	71		27	548	947	24	290	52																	
5	0	3	12	206	82	170	3	21		4	17	116	21	27	22																	
5	0	3	13																													
5	0	4	14	72	67	4	1	31		2	5	81	4	3	31																	
5	0	4	15	79	27	975	1	4		13	2	33	21	3	4																	
5	0	4	16	29	29				3	1	9	29	1	8		3																
5	0	4	17	125	102	7	2	12		1	4	70		4	8																	
5	0	4	18	220	209	14	3	41			30	190		28	29																	
5	0	5	19	370	331	905	23	85		3	7	339	3	6	78																	
5	0	5	20	44	42	5		46				35			35																	
5	0	5	21	29	28							21																				
5	0	5	22	534	386	81	17	25		4	20	356	4	20	18																	
5	0	6	23	39	34	1805	2					34																				
5	0	6	24	45	44	102	3	1			1	68		1																		
5	0	6	25	65	2	159						2																				
5	0	6	26																													
5	0	6	27																													
5	0	6	28	122	116	1184	12			1	1	111	1	1																		
5	0	6	29	281	222	5739	17	2			3	211		2																		
5	0	6	30																													
5	0	6	31	69	52	4818	5	7				55			7																	
6	0	0	0	17	10			4			1	10		1	4																	
6	0	0	1	140	107	126	2	23		8	55	150	9	69	30																	
6	0	0	2	42	41			26				40			23																	
6	0	0	3	549	483		11	175	1	5	56	557	5	63	192	1																
6	0	1	4																													
6	0	0	5	752	722	25	1	301		25	103	726	25	97	280																	
6	0	2	6	22	21			6			2	19		2	5																	
6	0	2	7	132	131			3		3	81	121	5	75	2																	
6	0	2	8																													
6	0	2	9	3	3							3																				
6	0	3	10	2932	1444	2132	93	95		149	793	1597	196	733	111																	
6	0	3	11	2408	1093	3648	27	69	1	88	476	1234	84	437	74	1																
6	0	3	12	141	68	118	2	11		7	10	81	11	15	11																	
6	0	3	13																													
6	0	4	14	122	115	7		48		2	28	179	4	39	75																	
6	0	4	15	72	20	916	1	4		9	2	29	15	3	3																	
6	0	4	16	16	15						3	14		2																		
6	0	4	17	59	51	34	1	9			3	47		5	9																	
6	0	4	18	206	201	8	1	29		2	34	206	1	37	30																	
6	0	5	19	396	367	914	4	63			12	359		11	63																	
6	0	5	20	61	61	11		62				49			49																	
6	0	5	21	13	13		1	1				12			2																	
6	0	5	22	487	398	193	12	22		3	6	377	3	6	13																	
6	0	6	23	28	27	225	2	2				31			2																	
6	0	6	24	20	19	26					1	23		1																		
6	0	6	25	74	3	9						4																				
6	0	6	26																													
6	0	6	27	1	1							1																				
6	0	6	28	122	116	467	1	3			1	110		1	2																	
6	0	6	29	188	161	7687	2				3	181		2																		
6	0	6	30																													
6	0	6	31	43	37	488	1				1	40		1																		
7	0	0	0	20	13	4		8			3	13		3	7																	
7	0	0	1	206	142	250	6	13		18	70	217	20	82	21																	
7	0	0	2	84	81			27			1	80		1	30																	
7	0	0	3	668	606	1	8	160	1	9	78	652	9	87	157	1																
7	0	1	4	1	1	33194						6																				
7	0	0	5	1524	1467	32	5	725	2	26	123	1516	25	117	713	2																
7	0	2	6	31	29		1	4			2	33		2	4																	
7	0	2	7	189	182		1	2		7	100	179	9	98	2																	
7	0	2	8																													
7	0	2	9	3	3							3																				
7	0	3	10	4277	1769	3093	158	95		164	806	1905	213	721	90																	
7	0	3	11	3665	1760	4258	52	83		124	871	1602	102	583	85																	
7	0	3	12	123	58	142	1	6		10	15	82	17	18	8																	
7	0	3	13																													
7	0	4	14	236	228	7	2	70		3	31	313	3	38	98																	
7	0	4	15	69	22	578	3	1		13	4	33	18	5	1																	
7	0	4	16	27	26			1	3	1	7	36	1	7		7																
7	0	4	17	89	84		1	9	2		6	70		4	5	2																
7	0	4	18	373	355	11	1	48		2	41	340	3	39	41																	
7	0	5	19	431	364	679	2	45	1	4	7	354	4	6	40	1																
7	0	5	20	103	102	12	1	108				86			86																	
7	0	5	21	45	38							34																				
7	0	5	22	611	526	41	14	31	2	7	25	525	7	20	30	2																
7	0	6	23	79	68	1010						82																				
7	0	6	24	19	18	36						40																				
7	0	6	25	99	2	3						3																				
7	0	6	26				1					1																				
7	0	6	27	4	4							3																				
7	0	6	28	148	128	909	5				2	133		2																		
7	0	6	29	207	161	4667	8	2			3	177		3	2																	
7	0	6	30																													
7	0	6	31	127	118	35619	2	7		1	2	136	2	2	6																	
0	1	0	0	27	14			2				16			2																	
0	1	0	1	284	170	807	8	9	2	2	49	190	4	50	12	1																
0	1	0	2	45	41			17				37			15																	
0	1	0	3	324	233	7	12	52		4	19	250	4	19	49																	
0	1	1	4	5	5	241						11																				
0	1	0	5	487	447	287	4	74	4	24	88	444	26	83	70	2																
0	1	2	6	22	20			6			5	17		3	4																	
0	1	2	7	21	16			2			4	15		4	2																	
0	1	2	8	2	2							1																				
0	1	2	9	6	6						1	4		1																		
0	1	3	10	5095	1139	9776	129	25	9	19	161	716	18	117	24	2																
0	1	3	11	10802	2102	50893	81	34	10	298	414	1165	72	161	33	8																
0	1	3	12	329	44	363	3	5			7	37		3	5																	
0	1	3	13																													
0	1	4	14	31	24		1	11		1	5	46	1	6	19																	
0	1	4	15	86	22	1146	1	1		3	4	20	4	3	1																	
0	1	4	16	206	191		1	2	5		9	184		9	1	6																
0	1	4	17	82	73			5			2	46			4																	
0	1	4	18	632	585	431	4	67		59	102	421	9	58	50																	
0	1	5	19	395	312	944	3	61	1		9	310		9	58	1																
0	1	5	20	99	92	17		92				41			41																	
0	1	5	21	42	39			1				34			1																	
0	1	5	22	577	417	12	7	10		4	15	376	3	16	10																	
0	1	6	23	7	7	4052	1					5																				
0	1	6	24	23	22	38					1	29		1																		
0	1	6	25	195	25	24	1			1	12	17	1	9																		
0	1	6	26	3	3							4																				
0	1	6	27	25	24			4				23			4																	
0	1	6	28	159	135	1676	1	1				133			1																	
0	1	6	29	342	178	7855	6					179																				
0	1	6	30																													
0	1	6	31	440	400	4048	4	2			12	395		12	1																	
1	1	0	0	12	8		1	2				9			2																	
1	1	0	1	132	89	112	2	7	1	2	36	98	2	28	10	1																
1	1	0	2	27	25		1	12			1	21		1	10																	
1	1	0	3	319	268	2	3	56		4	35	285	5	41	53																	
1	1	1	4																													
1	1	0	5	523	493	46	1	242	1	5	17	522	5	19	241	3																
1	1	2	6	19	18			2				13			2																	
1	1	2	7	15	15			2		1	5	14		5	2																	
1	1	2	8	1	1							2																				
1	1	2	9	7	7			2				4			2																	
1	1	3	10	2564	813	3287	63	26	2	30	270	675	26	210	31	2																
1	1	3	11	2209	806	6781	38	33	1	29	265	659	25	173	32	1																
1	1	3	12	89	35	158	2	9		4	5	34	5	3	10																	
1	1	3	13																													
1	1	4	14	39	37	1	1	13		2	4	32	2	4	8																	
1	1	4	15	80	21	550		1		15	8	33	21	9	1																	
1	1	4	16	34	33					1	3	31	1	2																		
1	1	4	17	65	55	2		6			3	43		3	4																	
1	1	4	18	261	235	19	3	44		3	19	206	3	10	32																	
1	1	5	19	387	334	1321	24	61		2	8	354	2	8	58																	
1	1	5	20	59	53	15	2	57				31			31																	
1	1	5	21	28	28						1	27		1																		
1	1	5	22	277	208	10	16	7		2	8	208	2	8	5																	
1	1	6	23	11	9	392	1					10																				
1	1	6	24	12	9	32						12																				
1	1	6	25	56	34	15					21	28		17																		
1	1	6	26																													
1	1	6	27	5	5							3																				
1	1	6	28	110	90	719	3				1	80		1																		
1	1	6	29	239	158	2986	6	2	1		1	165			1																	
1	1	6	30																													
1	1	6	31	77	55	54607	2	2	1	1	3	59	1	2	2	1																
2	1	0	0	12	8	7	1	4			1	14		1	5																	
2	1	0	1	79	57	99	2	6	2	4	22	76	3	22	5	3																
2	1	0	2	20	20			12			1	20		1	10																	
2	1	0	3	323	263	1	7	83		5	32	283	5	33	82																	
2	1	1	4	4	4	47						10																				
2	1	0	5	647	630	388	4	296	1	3	32	596	3	35	275	1																
2	1	2	6	14	13			9				11			8																	
2	1	2	7	30	29			7			6	25		5	5																	
2	1	2	8	1	1																											
2	1	2	9	7	7			3				7			2																	
2	1	3	10	2415	667	2753	78	58	2	17	219	627	24	233	35	1																
2	1	3	11	2057	750	5051	47	68	5	15	231	660	17	197	59	3																
2	1	3	12	93	36	124	1	12		2	10	40	3	10	12																	
2	1	3	13																													
2	1	4	14	61	54	2		21		1	7	71	2	7	20																	
2	1	4	15	54	7	735				2	4	9	3	4																		
2	1	4	16	18	17						4	22		5																		
2	1	4	17	81	72		2	4			11	57		9	3																	
2	1	4	18	198	185	3	3	32		2	14	168	2	12	25																	
2	1	5	19	352	321	867	6	80	1	3	4	324	3	4	77	1																
2	1	5	20	47	47	18		48			1	39		1	39																	
2	1	5	21	30	30							24																				
2	1	5	22	435	383	1383	17	12		5	6	369	5	7	8																	
2	1	6	23	8	5	28						5																				
2	1	6	24	13	13	77		1				13			1																	
2	1	6	25	51	5	24	1				2	7		1																		
2	1	6	26																													
2	1	6	27	2	2							1																				
2	1	6	28	94	86	1862	3	10				86			10																	
2	1	6	29	189	126	9482	6	1				167			1																	
2	1	6	30																													
2	1	6	31	95	70	610	2	1			1	66		1	1																	
3	1	0	0	20	12			2			2	12		2	2																	
3	1	0	1	143	92	788	4	14	1	3	23	130	4	20	20	1																
3	1	0	2	54	53		1	24	2			50			21	2																
3	1	0	3	423	363	1	16	115		3	41	418	3	43	118																	
3	1	1	4	9	9	13099	2					45																				
3	1	0	5	947	902	220	11	410	3	9	49	924	8	44	396	2																
3	1	2	6	22	18			5		1	2	17	1	2	3																	
3	1	2	7	48	43			4			14	40		12	3																	
3	1	2	8	3	3							3																				
3	1	2	9	3	3							2																				
3	1	3	10	2474	807	3147	99	59	7	42	290	978	59	294	63	1																
3	1	3	11	2217	774	7457	72	53	9	49	259	699	24	180	47	3																
3	1	3	12	84	21	189		6		2	3	20	3	2	6																	
3	1	3	13																													
3	1	4	14	106	92	3		36		1	18	123	3	20	37																	
3	1	4	15	59	14	453	2	3		8	2	19	11	2	3																	
3	1	4	16	50	44		1		5		8	51		9		5																
3	1	4	17	92	86	3	3	6			8	69		9	4																	
3	1	4	18	190	170	104	4	40		1	13	152	1	10	30																	
3	1	5	19	457	404	999	23	91		1	10	415	1	9	86																	
3	1	5	20	65	63	7		64			1	42			42																	
3	1	5	21	26	23							21																				
3	1	5	22	499	403	1466	16	25		4	19	384	4	24	13																	
3	1	6	23	22	17	2138			1			16				1																
3	1	6	24	11	11	91						17																				
3	1	6	25	69	8	36					2	8		2																		
3	1	6	26																													
3	1	6	27	3	3			1				4			1																	
3	1	6	28	145	131	1185	7	1				138			1																	
3	1	6	29	254	163	30200	11		2		6	209		7		2																
3	1	6	30																													
3	1	6	31	116	98	12798	3	3		1		110	1		3																	
4	1	0	0	12	10		1	4				10			5																	
4	1	0	1	187	138	186	3	14		9	68	162	4	55	15																	
4	1	0	2	49	47		1	20				47			19																	
4	1	0	3	649	573	1	9	184		14	44	593	16	41	196																	
4	1	1	4	5	5	1	1					21																				
4	1	0	5	1314	1269	10	4	673		19	75	1231	18	71	654																	
4	1	2	6	24	20			4			2	21		5	4																	
4	1	2	7	30	26		2	2		1	9	25	1	9	2																	
4	1	2	8																													
4	1	2	9	3	3							4																				
4	1	3	10	3975	1128	4776	78	69		93	421	976	114	305	56																	
4	1	3	11	3117	873	6474	43	58		45	328	785	47	251	52																	
4	1	3	12	135	48	108	3	9		6	11	77	14	20	17																	
4	1	3	13																													
4	1	4	14	81	79	11	1	41		2	8	91	4	8	48																	
4	1	4	15	68	13	1408				6	2	14	8	2																		
4	1	4	16	28	27			1			7	25		8	1																	
4	1	4	17	62	62		1	3			4	44		2	2																	
4	1	4	18	278	264	14	2	35			33	232		28	25																	
4	1	5	19	406	366	885	25	75		3	8	382	3	8	69																	
4	1	5	20	72	72	2		72			2	54			54																	
4	1	5	21	17	16							14																				
4	1	5	22	692	616	37	51	19		5	14	563	5	12	10																	
4	1	6	23	27	23	305	2					27																				
4	1	6	24	22	22	30	1	1				28			1																	
4	1	6	25	53	3	6						3																				
4	1	6	26	2	2	3																										
4	1	6	27	2	2							1																				
4	1	6	28	147	133	1291	5	1			1	129		1	1																	
4	1	6	29	226	164	28619	10	1			2	209		3	1																	
4	1	6	30																													
4	1	6	31	135	119	32159	2	3		1		119			3																	
5	1	0	0	25	20		3	10	1		2	27		2	9	1																
5	1	0	1	226	174	184	2	21		29	95	149	21	56	25																	
5	1	0	2	57	56			35			1	50			34																	
5	1	0	3	589	511	1	13	166	1	8	64	581	9	66	168																	
5	1	1	4	4	4	33						12																				
5	1	0	5	921	874	127	3	315		27	94	923	28	83	305																	
5	1	2	6	24	22			7			4	20		4	5																	
5	1	2	7	76	73			1		1	26	65	1	25	1																	
5	1	2	8	3	3							6																				
5	1	2	9	4	4					1		5	1																			
5	1	3	10	4402	1345	4458	87	118	2	92	544	1152	113	387	90	1																
5	1	3	11	3219	1083	6280	34	90	1	63	361	959	40	250	75	1																
5	1	3	12	154	56	141	5	14		6	8	71	15	7	13																	
5	1	3	13																													
5	1	4	14	84	81	3		24		2	12	87	4	17	28																	
5	1	4	15	46	12	1150	1	1		2	3	13	2	4																		
5	1	4	16	42	38				4		5	47		5		4																
5	1	4	17	146	139		1	10		1	10	119	1	7	9																	
5	1	4	18	295	289	2	2	57	1		19	250		11	45	1																
5	1	5	19	369	330	1113	11	77		4	9	329	4	9	71																	
5	1	5	20	75	75	5		75				49			49																	
5	1	5	21	26	26		1					20																				
5	1	5	22	538	469	22	8	19		5	15	439	7	17	14																	
5	1	6	23	34	30	515	1					28																				
5	1	6	24	25	23	51						31																				
5	1	6	25	73	7	2	1	1			3	9		3	1																	
5	1	6	26	1		226																										
5	1	6	27	5	4			1				6																				
5	1	6	28	155	142	1410	5	2			1	137		1	2																	
5	1	6	29	320	233	12916	9			1	7	252	1	9																		
5	1	6	30																													
5	1	6	31	100	87	1700	7	4			2	87		2	4																	
6	1	0	0	14	11			7			1	12		1	7																	
6	1	0	1	147	115	73		27		6	47	179	7	73	37																	
6	1	0	2	45	44			24			2	50		2	29																	
6	1	0	3	599	519		7	174	1	4	49	607	4	54	188	1																
6	1	1	4																													
6	1	0	5	958	931	53	5	411	1	13	105	938	17	105	388	1																
6	1	2	6	21	21		1	9			2	20		4	7																	
6	1	2	7	139	139			2		8	75	133	8	72	2																	
6	1	2	8	1	1							1																				
6	1	2	9	4	4						1	6		1																		
6	1	3	10	2943	1262	2741	74	73		78	648	1428	111	654	66																	
6	1	3	11	2574	1018	3242	28	91		69	466	1098	81	436	88																	
6	1	3	12	123	45	405	1	8		4	10	54	11	12	5																	
6	1	3	13																													
6	1	4	14	124	119	14	1	63		2	18	198	5	21	100																	
6	1	4	15	42	14	1132		1		7	3	15	8	3	1																	
6	1	4	16	28	27				2	2	7	31	2	8		4																
6	1	4	17	44	41		1	7		1	5	29	1	3	5																	
6	1	4	18	281	262	129		53		1	27	302	1	40	47																	
6	1	5	19	376	336	923	6	80		4	8	337	4	8	75																	
6	1	5	20	78	74	11		74				55			55																	
6	1	5	21	36	35							34																				
6	1	5	22	438	371	77	11	12	1	1	9	361	1	7	9	1																
6	1	6	23	33	27	18380						24																				
6	1	6	24	15	13	70						27																				
6	1	6	25	80	12	4	6				8	24		6																		
6	1	6	26	1	1							2																				
6	1	6	27	2	2							2																				
6	1	6	28	152	128	912	5	1				136			1																	
6	1	6	29	304	225	26424	13				4	255		1																		
6	1	6	30																													
6	1	6	31	87	73	47309		2			6	70		5	2																	
7	1	0	0	18	14			7			1	14		1	7																	
7	1	0	1	221	152	270	3	26		6	63	206	12	67	30																	
7	1	0	2	53	51			14			4	60		4	18																	
7	1	0	3	658	570	3	8	111	1	6	55	669	6	61	126	1																
7	1	1	4	4	4	42786					1	17		1																		
7	1	0	5	1839	1798	88	8	896		56	117	1861	52	118	890																	
7	1	2	6	24	23			4			4	18		3	4																	
7	1	2	7	134	134			2			72	127		71	2																	
7	1	2	8																													
7	1	2	9	10	8			1			1	9		1	1																	
7	1	3	10	4540	1635	4721	100	75	1	148	684	1889	189	720	55	1																
7	1	3	11	3995	1615	6356	51	87		118	752	1353	67	458	76																	
7	1	3	12	117	53	114	5	8		6	11	78	9	18	12																	
7	1	3	13																													
7	1	4	14	171	158	3	4	41			21	250		36	55																	
7	1	4	15	61	14	659		2		4	1	17	7	1	2																	
7	1	4	16	31	27			2			6	35		6	2																	
7	1	4	17	116	96	2	2	9			2	80		4	6																	
7	1	4	18	517	493	16	7	60		6	45	487	8	40	48																	
7	1	5	19	419	360	1028	4	53		1	3	360	1	3	50																	
7	1	5	20	108	107	7	2	109			1	85		1	85																	
7	1	5	21	64	62			1			1	55		1	1																	
7	1	5	22	666	560	42	36	15		12	20	555	14	20	10																	
7	1	6	23	84	80	932					1	93		1																		
7	1	6	24	10	10	29	2	1				17			1																	
7	1	6	25	109	13	11				1	7	20	1	12																		
7	1	6	26																													
7	1	6	27	13	12			1		1	1	8			1																	
7	1	6	28	193	172	2331	4				2	185		2																		
7	1	6	29	353	264	56136	6	1				366			1																	
7	1	6	30																													
7	1	6	31	158	136	11212	1	2		1		130	1		2																	
0	2	0	0	13	7		2		1			11				1																
0	2	0	1	383	140	1127	14	13	1		33	156		30	14	1																
0	2	0	2	81	74		1	28			1	64			26																	
0	2	0	3	458	201		50	54		3	20	263	3	26	58																	
0	2	1	4	15	6	1537	2					39																				
0	2	0	5	836	544	486	52	137	4	46	67	529	47	63	115	3																
0	2	2	6	14	9	1	3	3			1	9		1	3																	
0	2	2	7	25	7		1					6																				
0	2	2	8	1	1							3																				
0	2	2	9	26	10		1	5			2	12		2	5																	
0	2	3	10	2888	316	7945	64	15		2	36	322	16	35	15																	
0	2	3	11	9929	811	43056	109	23	2	13	108	794	13	101	22	1																
0	2	3	12	1463	203	1595	26	43		9	25	222	9	29	39																	
0	2	3	13																													
0	2	4	14	199	133	8	13	60		1	9	177	2	11	75																	
0	2	4	15	103	5	889	6	2		1		13	1		2																	
0	2	4	16	1024	709		130	4	3		61	802		62	3	3																
0	2	4	17	103	53		8	2			1	37			1																	
0	2	4	18	591	484	5	18	43	1	7	35	440	7	27	33	3																
0	2	5	19	380	236	1160	76	33		1		312	1		33																	
0	2	5	20	41	41			41				23			23																	
0	2	5	21	15	9		1					9																				
0	2	5	22	1458	1018	511	94	7	1		4	965		4	7	1																
0	2	6	23	162	40	346	27					68																				
0	2	6	24	5	5	14	2					6																				
0	2	6	25	203	8		1			1	1	8	1	1																		
0	2	6	26																													
0	2	6	27	45	36		1	8			1	34		1	9																	
0	2	6	28	457	282	491242	102	1				371			1																	
0	2	6	29	992	375	66259	153	1			1	483		1	1																	
0	2	6	30																													
0	2	6	31	1628	670	871112	98	2			5	835		5	1																	
1	2	0	0	5	3		3	4				5			4																	
1	2	0	1	183	103	396	8	6	1	2	37	119	2	36	11	1																
1	2	0	2	44	33		1	21			1	29		1	19																	
1	2	0	3	364	211	2	40	41	2	2	30	261	5	25	40	2																
1	2	1	4	7	4		1				4	26		1																		
1	2	0	5	504	380	252	30	104	4	14	29	351	13	34	86	3																
1	2	2	6	21	12		1					12																				
1	2	2	7	21	15		3			1	11	16	1	10																		
1	2	2	8																													
1	2	2	9	18	11			2		2	1	9	3	1	2																	
1	2	3	10	1912	485	4610	48	10	2	14	87	361	22	76	10	3																
1	2	3	11	3266	759	21744	63	21		12	130	670	20	124	24																	
